Credit_total	Sexe	Education	Statut_marital	Age	Statut_mois_1	Statut_mois_2	Statut_mois_3	Statut_mois_4	Statut_mois_5	Statut_mois_6	Montant_mois_1	Montant_mois_2	Montant_mois_3	Montant_mois_4	Montant_mois_5	Montant_mois_6	Versement_mois_1	Versement_mois_2	Versement_mois_3	Versement_mois_4	Versement_mois_5	Versement_mois_6	Defaut_de_paiement
1190	1	2	2	22	1	-1	-1	-1	-1	-2	0	25	34	60	0	0	25	34	60	0	0	0	0
4048	2	2	2	24	-1	-1	2	0	0	-1	28	99	93	116	99	10	71	0	24	0	24	413	1
1905	2	1	2	23	-1	-1	0	0	-1	-1	84	159	104	82	103	0	159	24	0	103	0	6	0
1905	2	3	1	59	0	0	0	0	0	0	1801	1668	1266	1211	1199	1178	76	50	48	38	45	48	0
476	2	1	2	23	0	0	0	0	0	0	376	479	462	480	476	478	119	48	36	24	14	24	1
1190	1	2	1	41	0	0	0	0	0	0	460	486	478	443	456	459	41	31	19	24	21	21	0
3571	2	1	1	25	-1	-1	-1	-1	-1	-1	198	120	58	106	58	0	120	58	106	58	0	95	0
3810	2	2	2	26	1	2	2	2	-1	-1	135	19	9	0	9	0	9	0	0	9	0	0	0
7619	2	2	1	29	0	0	0	0	0	0	829	541	224	243	328	321	40	36	24	86	25	24	0
4286	2	2	2	25	0	0	0	0	0	0	4229	3319	3261	2729	2805	2864	124	715	239	238	106	119	0
3810	1	1	2	30	1	-1	-1	-1	0	-1	0	15	0	15	8	8	15	0	15	0	8	8	1
4762	2	1	2	39	-2	-2	-2	-2	-2	-2	8	8	0	0	22	0	8	0	0	22	0	0	0
1429	2	2	1	26	0	0	2	0	0	0	1443	1460	1400	1392	1376	1452	131	0	55	54	110	50	1
1905	1	2	1	42	0	0	0	0	0	0	1862	1497	1261	1246	1172	1196	50	119	44	37	39	52	0
714	1	3	2	35	1	2	2	0	0	0	694	721	702	712	341	690	45	0	31	21	19	0	1
1190	1	3	1	38	0	0	0	0	0	0	745	797	824	851	885	914	71	48	48	48	48	48	0
8571	1	1	2	40	-1	3	2	-1	-1	2	12	12	12	313	218	66	0	0	314	66	0	340	1
9048	1	1	1	46	1	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0
7381	2	2	1	30	0	0	0	0	0	0	7070	7209	7123	7268	6247	6056	295	310	314	238	226	238	0
8571	2	1	2	30	-2	-2	-2	-2	-2	-2	60	0	0	0	0	0	0	0	0	0	0	0	0
10952	1	1	1	35	0	0	0	0	0	0	9165	9358	9392	8053	8280	8480	358	381	310	357	358	167	0
1905	2	3	1	27	0	0	0	0	0	0	572	521	352	152	118	111	72	30	72	48	83	620	1
714	2	1	1	48	0	0	0	2	2	2	602	632	716	688	726	702	48	95	0	57	0	36	1
714	1	2	1	35	1	-1	-1	2	0	0	0	625	693	674	692	682	625	79	0	29	26	36	1
714	2	2	2	23	2	2	2	2	2	2	295	321	309	361	348	375	38	0	64	0	33	0	1
1190	1	2	2	26	0	0	0	0	0	0	1142	1155	1176	238	209	218	60	48	8	24	24	12	0
476	1	1	2	28	0	0	0	0	0	0	459	827	448	436	452	462	31	76	36	24	20	21	0
5000	2	3	2	36	0	0	0	0	0	0	1372	1398	1425	1460	1486	1522	71	71	67	71	71	59	0
476	2	3	2	23	-1	-1	-1	0	0	-1	415	28	460	460	439	10	28	460	9	9	10	122	0
5238	1	1	1	34	-2	-2	-2	-2	-2	-2	153	150	117	216	85	111	150	117	217	85	112	328	0
1190	1	2	2	51	0	0	0	0	0	0	1160	1168	1181	471	441	454	50	38	17	16	21	15	1
9524	2	1	1	41	0	-1	-1	-1	0	0	2478	0	30	456	483	525	0	30	456	31	49	40	0
3810	2	1	1	28	1	3	2	0	0	0	108	102	28	19	19	0	0	0	0	0	0	0	1
2143	2	2	2	23	2	0	0	0	0	0	2087	2063	1377	736	346	222	83	71	71	238	48	238	0
1905	2	2	1	35	0	0	0	0	0	0	1941	1972	1766	1753	1106	1125	86	67	52	43	48	48	0
4762	2	3	1	42	-1	-1	-1	2	-1	0	9	18	104	9	19	9	18	95	0	19	0	42	0
2857	2	1	2	26	-2	-2	-1	0	0	0	248	171	2635	2394	2123	2104	137	2858	121	84	88	72	0
4762	2	1	2	38	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0
3571	2	1	1	29	-1	-1	-1	-1	-1	0	14	76	806	110	25	12	76	806	110	25	0	0	1
3095	2	3	2	27	0	0	0	0	0	0	1185	1219	2100	1285	1204	990	55	1204	48	48	35	37	0
476	2	2	1	23	0	0	-1	-1	-1	0	341	101	5	0	449	287	24	5	0	449	6	0	0
12143	2	4	1	34	-2	-2	-1	0	-1	-1	251	14	525	552	276	290	26	539	276	587	303	495	0
3810	1	2	1	26	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	1
3333	2	2	1	40	-1	-1	-1	-1	-1	0	19	200	9	9	19	9	200	9	9	19	0	9	1
11905	2	1	1	39	0	0	0	0	0	0	9975	10463	10484	10490	10477	10451	939	476	476	476	476	476	0
6667	1	1	2	30	1	2	2	0	0	0	4559	4474	4029	3644	3178	3104	24	181	142	143	124	122	0
2143	1	1	1	61	0	0	0	0	0	0	1106	1117	1130	1091	985	959	42	45	36	33	36	30	0
1429	2	3	1	42	0	0	0	0	0	0	1385	1390	1407	924	945	893	57	56	32	33	35	25	0
1190	1	2	2	27	0	0	0	0	0	0	940	899	869	798	711	670	38	48	153	105	24	72	0
1905	2	2	2	24	0	0	0	0	-1	-1	987	340	348	205	34	2108	31	36	36	34	2108	79	0
1190	2	2	2	24	0	0	0	0	0	0	662	470	492	389	403	416	48	38	24	24	24	12	0
1190	2	1	2	24	0	0	0	0	0	0	807	838	863	882	903	1007	45	46	40	36	119	0	1
9524	2	1	2	36	-1	-1	-1	-1	0	-1	20	34	158	73	46	1230	34	159	73	0	1237	120	0
2619	2	2	1	25	2	0	0	0	0	0	716	699	658	524	488	441	36	33	37	19	17	15	1
6429	2	1	2	26	0	0	0	0	0	0	3196	1488	1479	1471	1365	1371	143	60	71	178	71	60	0
1905	2	2	2	28	0	-1	-1	0	0	0	431	211	1663	1407	1405	1453	240	1886	50	52	72	60	0
2619	2	3	2	32	-1	-1	-1	-1	-1	0	237	221	118	144	182	65	221	166	144	182	0	123	0
2619	2	2	2	42	1	2	0	0	0	0	1358	1214	1156	1174	1122	1148	0	50	60	48	54	29	0
8095	2	2	1	46	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1190	2	2	1	54	0	0	0	0	0	0	1174	1184	1196	452	415	406	46	51	19	15	15	21	0
3571	2	1	2	23	-1	-1	-1	-1	-1	-2	5	159	276	77	34	126	159	276	86	34	126	67	0
10952	2	1	2	39	0	0	0	0	0	0	2121	2229	2664	4754	4216	4190	143	476	2143	214	238	238	0
476	1	2	2	23	0	0	2	0	0	0	448	425	410	418	428	742	51	24	12	14	95	95	0
238	2	2	1	32	0	0	0	0	0	0	112	136	160	181	185	206	26	27	24	7	24	5	1
476	1	2	2	25	0	0	0	0	0	0	331	307	333	262	129	0	48	60	48	0	0	0	1
4048	1	1	2	31	0	0	0	0	0	0	3969	3918	3974	4050	3929	3942	140	164	145	138	149	167	0
1190	2	1	2	28	0	0	0	0	0	0	1106	1036	1048	1033	987	1159	43	48	43	37	238	42	0
5714	2	1	2	28	0	0	0	0	0	0	5637	4797	4474	3555	3586	3593	238	167	239	167	143	119	0
7143	1	2	2	34	0	0	0	0	0	0	1197	1225	1288	1312	1350	1387	48	83	71	60	60	60	0
1905	1	2	2	59	2	2	2	2	2	0	589	710	692	741	575	547	131	0	95	0	48	48	1
3810	2	1	2	35	0	0	0	0	0	0	1454	1264	1107	1020	1099	964	47	47	36	95	71	95	0
1190	1	3	1	50	2	0	0	0	0	0	212	240	264	288	291	331	35	36	36	14	49	0	1
476	1	2	1	40	1	2	2	0	0	0	379	403	390	395	401	413	37	0	19	15	19	24	0
11905	2	2	2	29	-2	-2	-2	-2	-2	-2	51	93	85	65	51	74	93	90	65	51	74	51	0
1667	2	2	1	43	0	0	0	0	0	0	909	923	940	950	960	970	47	40	34	34	35	35	0
3571	1	1	2	30	0	0	0	0	0	0	4806	2889	3492	3286	2160	2209	315	745	142	185	143	6190	0
6190	2	2	1	40	1	-1	-1	-2	-2	-2	0	8	0	0	0	0	8	0	0	0	0	0	0
476	2	2	2	26	0	0	0	0	0	0	374	398	418	421	248	0	38	33	28	14	0	0	0
2857	1	2	2	29	0	0	0	0	0	0	2755	2816	2881	2828	2175	2096	143	155	89	77	79	81	0
476	1	2	1	27	0	0	0	3	2	0	157	222	454	440	429	440	71	238	0	0	21	48	0
4762	2	2	2	34	0	0	0	0	0	0	4507	4648	1435	1404	1327	2379	238	120	119	119	1190	95	0
1190	1	2	1	31	0	0	0	2	2	2	1004	1028	1106	1081	1159	1137	48	95	0	95	0	55	1
1905	2	3	3	37	-2	-2	-2	-2	-2	-2	168	74	124	92	114	24	74	124	92	114	47	0	0
1905	2	2	1	46	1	-2	-2	-2	-2	-1	0	0	0	0	0	15	0	0	0	0	15	0	1
952	2	3	1	39	2	2	2	2	2	2	530	554	576	584	591	578	40	38	24	24	0	48	1
9524	2	1	2	27	-2	-2	-2	-2	-2	-2	130	106	120	167	1243	385	106	121	168	1246	386	108	1
1190	2	3	2	22	2	2	2	0	0	0	1017	1222	1196	220	452	231	221	7	8	10	9	8	0
8571	1	2	1	30	3	2	2	2	2	2	60	60	60	60	60	0	0	0	0	0	0	0	1
2381	2	2	2	24	0	0	0	0	-1	0	2419	2367	2435	2119	1901	1928	238	405	213	2070	786	167	0
476	1	2	2	25	-2	-2	-1	2	0	0	24	0	397	383	393	402	0	606	0	19	19	19	0
714	1	3	1	42	1	2	2	2	2	2	579	563	627	641	624	663	0	81	31	0	57	48	1
3571	2	1	2	27	-2	-2	-2	-2	-2	-2	0	15	15	0	15	0	15	15	0	15	0	0	0
5714	1	2	1	36	0	0	0	0	-2	-2	5489	5643	5616	0	0	0	282	145	0	0	0	0	0
10714	2	2	1	53	-2	-2	-1	-1	-1	-1	0	0	29	137	51	16	0	29	138	51	16	86	0
8571	2	3	1	40	1	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0
7143	2	3	1	37	1	2	2	-1	-1	-1	142	126	45	36	61	69	45	0	36	61	69	49	0
1190	1	1	2	27	0	0	2	0	0	2	969	1043	1019	1036	1101	1127	98	0	41	86	48	66	0
4762	1	2	1	34	0	0	0	0	0	0	3230	4142	4212	4066	4103	4190	1572	145	140	144	150	190	0
9048	2	1	2	27	0	0	0	0	0	0	1071	2599	1042	931	904	796	1667	48	24	71	48	79	0
3810	2	1	1	32	-1	-1	-1	-1	-1	-1	76	76	81	65	65	124	77	81	65	65	124	55	0
8571	2	1	1	35	-2	-2	-2	-2	-2	-2	93	127	24	171	256	116	127	24	176	258	120	659	0
3095	1	3	2	39	1	2	2	2	2	2	1691	1651	1766	1723	1838	1805	0	143	0	143	0	143	0
1190	2	2	1	24	0	0	2	0	0	2	1098	1175	1149	1185	1343	1321	95	0	57	190	0	44	0
4286	2	1	1	44	0	0	0	2	0	0	2931	2992	3457	3367	3401	3975	145	552	0	126	632	144	0
9286	2	1	2	30	0	0	0	0	0	0	3632	3654	3539	3371	3014	3680	123	238	238	119	1190	119	0
1190	1	1	2	26	0	0	0	0	0	0	1029	459	438	461	478	427	31	31	31	24	24	24	0
3095	1	3	1	44	0	0	0	0	0	0	2947	2909	2831	2021	2068	2097	110	116	83	83	83	74	0
1905	2	1	1	50	0	0	0	0	-2	-1	731	684	181	0	0	72	47	24	0	0	72	48	0
8571	1	3	2	29	1	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1667	1	2	2	29	0	0	0	0	0	2	407	436	465	492	527	556	36	36	36	43	40	0	1
2381	1	2	2	34	2	2	2	2	2	2	1289	1379	1376	1410	1385	1475	126	33	71	0	114	60	1
11905	1	1	2	36	-1	-1	-1	0	0	0	58	25	827	486	567	540	26	837	71	119	119	119	0
3571	2	4	2	33	0	0	0	0	0	0	5532	5646	5700	942	781	848	140	129	24	27	119	170	0
2619	2	2	2	25	0	0	0	0	0	0	1914	1944	1126	1044	1088	976	71	71	52	71	83	37	0
7143	2	2	1	31	-1	-1	-1	-1	-1	-1	92	101	121	7	64	181	120	122	8	119	181	192	0
4762	2	2	2	29	-1	0	0	0	0	0	79	114	183	250	166	207	36	71	71	24	48	48	0
2143	1	2	2	26	2	2	-1	2	0	0	2890	2438	2181	1572	1682	2904	0	2281	0	143	71	71	0
8571	1	2	1	35	-2	-2	-1	2	2	-2	0	0	31	7	0	14	0	31	0	0	14	32	0
6190	1	1	1	38	0	0	0	0	0	0	3877	3654	3419	3178	2918	2876	143	143	143	119	119	95	0
7619	2	2	2	30	-1	-1	-1	-1	0	0	89	100	372	251	282	134	100	372	251	190	133	62	0
4762	1	2	2	27	0	0	2	0	0	0	603	624	611	599	595	569	52	24	24	24	48	0	0
6905	1	1	2	40	0	0	0	0	0	0	3227	3200	3348	3141	3229	3164	190	238	119	143	112	119	0
4762	2	1	2	26	0	0	0	0	0	0	2816	2455	2040	1534	1177	829	78	122	38	33	73	168	0
1190	1	3	2	28	0	0	0	0	0	0	408	437	457	370	360	327	36	29	12	12	15	119	0
4762	2	2	2	24	0	0	0	0	0	-2	460	484	509	524	48	23	32	32	24	48	23	0	0
5476	2	2	2	23	-1	-1	-1	-1	-1	0	120	34	334	25	298	291	34	334	25	298	6	17	0
476	1	2	2	44	1	2	0	0	0	0	156	150	183	200	217	233	0	36	24	24	24	24	1
4286	1	3	2	55	0	0	0	0	0	0	4598	4448	4340	3809	3462	3277	164	169	135	121	117	105	0
5238	2	1	1	36	0	0	0	0	0	0	1345	784	576	904	946	794	214	238	357	214	500	0	0
2381	2	3	1	43	2	2	2	2	2	2	1202	1228	1241	1255	1290	1266	52	48	48	60	0	107	1
3810	1	3	2	52	0	0	0	0	0	0	3707	3747	3728	1734	1591	1510	155	158	65	60	55	52	0
714	2	1	1	32	-1	-1	-1	-2	-2	-2	88	69	139	50	69	92	69	139	50	69	92	76	0
1905	2	2	1	42	0	0	0	-1	-1	0	1025	1024	234	14	1283	1310	31	121	14	1283	26	238	1
10476	1	1	2	30	0	0	0	0	0	0	1208	1260	1290	1094	1129	1179	71	71	48	51	71	71	0
3571	2	1	1	55	-1	-1	-1	-1	0	-1	337	446	424	770	595	398	446	430	770	595	398	4009	0
1190	2	2	1	42	0	0	0	0	0	0	996	633	345	386	442	482	143	48	48	71	48	48	0
5476	1	2	2	39	-1	-1	-1	-1	-1	-1	8	8	8	8	8	8	16	8	8	8	8	8	0
3571	2	1	2	30	1	-2	-2	-2	-1	0	0	0	0	0	45	45	0	0	0	45	0	0	1
2857	2	2	2	29	0	0	0	2	-1	0	217	253	357	221	1100	733	48	119	0	1189	36	95	0
238	2	1	2	22	1	3	2	2	2	2	199	192	186	206	200	220	0	0	24	0	24	0	0
2857	2	2	1	25	0	0	0	-2	-2	-2	630	509	0	0	0	0	143	0	0	0	0	0	0
11905	2	1	1	32	-1	-1	-1	-1	0	0	4415	252	0	6728	6868	6982	252	0	6728	262	228	213	0
4286	2	2	1	52	0	0	0	0	0	0	1822	1712	1567	1229	1219	1189	76	52	43	48	43	36	0
9524	1	1	2	38	-1	-1	-1	-1	2	2	82	1184	210	1380	1181	547	1197	210	1190	0	207	0	1
714	2	1	2	24	2	2	0	0	0	0	569	553	561	616	622	636	0	48	71	24	24	83	1
3810	2	1	2	28	-1	-1	-1	-1	-1	-1	92	152	166	215	55	95	154	166	215	55	119	237	0
1429	1	2	2	22	0	0	0	0	0	0	1418	1238	844	459	459	466	49	39	16	17	17	16	0
7143	1	2	1	40	0	0	0	0	0	0	607	668	728	787	845	950	71	71	71	71	119	119	0
2619	2	2	2	23	0	0	0	0	0	0	2547	2428	2046	1753	1717	1756	120	93	62	119	71	71	0
476	1	2	2	38	1	3	2	2	0	0	626	567	546	527	456	409	0	36	0	57	0	0	0
11190	1	2	1	32	0	0	0	0	0	0	4315	3409	3459	3545	3626	3709	167	143	143	143	143	190	0
3810	2	2	1	28	0	0	0	0	0	0	1291	1320	1348	1375	1415	1444	50	50	60	71	52	52	0
1190	2	2	2	35	1	2	2	2	0	0	442	427	516	501	511	574	0	104	0	19	71	0	0
8095	2	2	1	31	0	0	0	0	0	0	4592	4506	3268	3266	3233	3219	175	119	152	114	118	112	0
10714	2	1	1	35	-1	-1	-1	-1	-1	-1	146	164	402	174	148	121	164	403	174	148	121	370	0
3333	1	2	1	40	0	0	0	0	0	0	1842	1907	1954	1977	2018	2240	95	93	76	76	257	0	0
1667	2	2	1	33	0	0	0	0	0	0	1653	1642	923	89	30	0	57	48	24	1	0	39	1
1190	2	2	1	34	0	0	2	0	0	0	271	261	244	258	279	242	71	24	24	24	48	48	0
1905	1	2	2	26	1	2	2	2	0	0	1843	1800	1912	1803	1845	1898	0	143	0	71	83	71	0
5714	2	1	2	28	0	0	0	0	0	0	5865	5958	5956	5940	4580	4681	250	236	260	167	190	179	0
4762	2	1	2	26	-2	-2	-2	-2	-2	-2	127	55	178	26	611	839	55	178	26	611	839	183	0
7381	2	1	2	28	0	0	0	0	0	0	4204	3620	3974	3674	3496	3497	608	1193	714	476	138	138	0
2381	1	3	1	52	0	0	2	2	2	0	111	144	153	161	146	182	36	24	24	0	48	48	1
2143	2	3	1	40	0	0	0	0	0	0	334	279	237	268	304	310	74	28	36	48	14	11	0
1905	2	2	2	31	1	2	0	0	2	2	1291	1257	1283	1431	1462	1435	0	48	169	57	0	110	0
1905	2	2	2	31	0	0	0	0	0	0	1937	1665	1703	1727	1287	1313	74	81	71	48	47	49	0
10952	1	1	2	39	0	0	0	0	0	0	6914	6850	4691	4279	3994	3259	369	240	192	147	192	144	0
9524	2	1	2	28	-1	-1	-1	-1	-1	2	24	214	38	210	147	117	216	38	216	24	0	53	0
1905	2	2	2	23	0	0	0	0	0	0	1212	1160	453	519	381	293	58	29	14	16	7	0	1
3095	2	2	2	23	-2	-2	-2	-2	-2	-2	3	0	0	0	0	0	0	0	0	0	0	0	0
9524	1	1	2	48	0	0	0	0	0	0	2685	2760	2873	2913	2956	2702	119	158	124	91	80	81	0
4762	2	1	2	32	-1	-1	-1	0	0	-1	340	93	578	124	119	402	93	578	119	0	402	145	0
714	1	2	1	47	-1	-1	0	0	0	0	19	140	205	200	259	257	140	71	7	71	14	7	1
1190	1	2	3	37	0	0	0	0	-1	0	1182	1152	1050	203	427	224	49	24	4	427	4	9	0
1667	2	2	2	22	2	0	0	0	0	0	833	457	476	546	551	548	31	40	95	23	25	143	0
11905	1	2	1	41	1	2	0	0	0	0	4027	3883	3852	3915	3858	3892	0	176	238	143	141	143	0
1905	2	2	1	36	-1	-1	-1	-1	-1	-1	65	221	27	104	53	27	221	27	105	53	27	9	0
5714	2	2	2	34	-1	-1	-1	-1	-1	-1	81	68	86	78	77	74	83	98	83	77	74	53	1
2143	2	2	1	26	2	0	0	0	0	0	2142	2189	2106	2095	2091	2091	119	102	83	83	88	74	0
476	2	2	2	50	0	0	0	0	0	0	331	367	373	382	414	418	71	71	24	48	24	24	0
1190	2	2	2	48	-1	-1	0	0	0	0	21	192	197	187	190	194	192	33	24	4	4	219	0
1905	2	3	1	45	-2	-2	-2	-2	-2	-2	83	79	70	86	92	52	79	70	86	95	55	72	0
4286	2	1	1	28	0	0	0	0	0	0	4209	4120	4090	4103	3198	3124	190	195	155	119	119	119	0
5952	2	1	2	29	-1	-1	-1	0	-1	-1	427	235	165	66	59	67	235	166	60	59	67	257	0
4762	1	2	1	37	0	0	0	0	0	0	4972	4826	4617	4304	3821	3164	174	170	276	134	120	119	0
476	1	2	1	44	0	0	2	0	0	0	390	229	221	278	282	315	71	24	71	24	48	24	0
952	2	2	1	36	2	2	2	2	0	0	170	211	232	223	143	58	75	28	0	12	24	24	1
1667	2	2	1	28	0	0	0	2	0	0	382	369	301	267	262	283	36	71	0	48	48	0	0
1905	2	3	2	32	0	0	0	0	0	0	1842	1882	1926	1890	1943	1911	69	76	71	83	74	148	0
238	2	1	1	39	1	-2	-1	2	0	0	0	0	238	231	232	246	0	238	0	9	18	0	1
6190	2	2	1	39	2	2	0	0	2	0	5681	5439	5570	6015	4439	4532	0	255	590	0	168	169	1
1190	1	2	2	29	0	0	0	0	0	0	553	456	360	334	351	368	40	25	119	119	119	48	0
1190	1	2	1	51	0	-1	-1	0	0	0	2696	2585	2817	236	236	237	71	250	95	12	24	48	0
714	2	2	2	31	0	0	0	0	0	0	682	684	633	639	639	654	43	48	38	24	24	24	0
4048	2	2	2	37	0	0	0	0	0	0	4064	704	757	815	872	926	71	71	71	71	71	71	0
476	2	1	2	22	0	0	0	0	0	0	470	442	419	285	227	162	33	33	24	11	36	52	0
8571	2	2	3	37	0	0	0	-1	-1	-1	256	211	83	8	0	18	25	24	8	0	18	269	0
476	2	2	1	53	0	0	0	0	0	0	467	464	463	483	483	468	48	40	36	17	18	24	0
476	2	2	1	51	-1	-1	-2	-2	-2	-2	248	0	0	0	0	0	0	0	48	0	0	0	0
11905	1	2	1	31	0	0	0	0	0	0	9021	9101	6538	6517	4010	3991	358	263	263	167	191	247	0
6667	2	1	2	35	0	0	0	0	0	0	2193	4127	4619	4649	4877	2054	1999	687	310	238	126	147	0
1667	2	1	2	24	0	0	0	0	0	0	2623	1342	1371	1384	1412	1460	64	64	50	51	71	55	0
238	1	3	1	40	1	2	2	3	2	2	172	166	211	205	198	220	0	48	0	0	25	24	1
1190	2	2	1	26	0	0	0	0	0	0	1087	1036	1028	447	457	463	55	56	19	20	17	9	0
5238	1	2	1	45	0	0	0	0	0	0	3942	4010	4077	4130	2097	2149	155	143	107	71	71	71	0
2143	2	2	2	24	1	2	0	0	2	0	313	255	229	421	369	222	0	24	238	0	24	74	0
6190	1	2	1	42	3	3	2	2	0	0	5131	5017	5089	4972	5073	5175	0	190	0	186	186	198	1
7143	2	1	2	26	0	0	-1	-1	0	-1	6989	6939	90	80	254	71	188	119	119	239	71	283	0
1905	2	1	2	24	-1	-1	-1	-1	-1	-1	8	1	8	20	9	3	12	8	21	10	3	10	0
11905	1	1	1	51	-1	-1	-1	-1	-1	0	191	313	303	306	572	645	313	303	306	572	357	476	0
714	2	4	1	60	0	0	0	0	0	0	459	485	515	605	582	629	40	62	136	24	80	0	0
6429	2	1	2	32	0	0	0	0	0	0	1146	1014	1318	2194	1380	1078	478	717	1433	49	49	66	0
1667	1	3	1	43	0	0	0	0	0	6	757	781	815	849	1192	1230	36	48	48	357	71	0	1
714	2	3	1	47	2	2	2	2	2	2	668	679	646	669	669	671	43	0	55	29	31	0	1
476	2	1	2	24	-1	2	-1	0	0	-1	15	8	23	15	8	26	0	23	0	0	26	0	0
1190	2	1	2	29	3	3	2	3	2	2	1182	1155	1197	1169	1215	1213	0	67	0	71	19	71	1
6667	2	2	1	38	0	0	0	0	0	-1	211	352	387	250	164	823	238	239	167	143	881	238	0
4286	2	4	2	30	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0
714	1	2	2	35	1	3	2	2	2	2	341	329	316	335	348	338	0	0	24	21	0	34	1
476	1	2	2	35	1	2	2	2	2	2	373	360	428	454	440	493	0	74	40	0	83	0	1
2619	2	2	1	46	0	0	2	0	0	0	2446	2623	2503	2511	2245	2057	255	0	119	95	95	119	0
8571	2	2	1	44	1	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	1
9524	2	2	1	39	-2	-2	-2	-2	-2	-2	1245	87	277	575	138	141	87	279	578	186	142	223	0
1190	2	2	2	23	2	0	0	0	0	0	1159	1156	1082	918	668	674	96	48	119	24	48	24	1
4286	2	4	2	26	0	0	0	0	0	0	6019	5727	932	130	55	0	191	73	3	1	0	0	0
4524	2	2	1	40	0	0	2	0	0	0	4388	4560	4581	3579	2200	2217	357	143	143	95	95	79	0
4762	1	1	2	28	-2	-2	-2	-2	-2	-2	19	12	89	11	213	11	12	89	11	214	12	12	0
8571	2	1	2	36	-1	-1	-1	-1	-1	-1	32	64	21	9	9	84	71	24	24	9	84	9	0
714	2	1	2	23	0	0	0	0	0	0	346	371	396	420	430	447	31	31	31	17	24	24	1
4762	2	2	1	51	-1	-1	-1	-1	-1	-1	232	1331	208	105	28	683	1339	211	105	28	683	0	1
10952	2	2	2	33	-1	-1	-1	-1	-2	-1	21	0	80	0	0	1068	0	80	0	0	1068	0	0
4762	2	2	2	25	-2	-2	-1	-1	0	-1	540	189	235	574	585	175	0	242	574	12	175	231	0
5000	2	1	2	30	-1	-1	-1	-1	-1	-1	182	133	133	133	133	131	133	133	133	133	131	139	0
1190	1	2	2	42	-1	0	0	0	0	0	1134	2331	1176	469	468	468	50	46	16	17	17	16	0
5714	2	2	1	28	2	2	2	2	2	0	4551	5008	4913	5119	4638	4450	571	0	286	0	126	119	1
4762	2	1	1	39	-1	-1	-1	-1	-1	-1	2387	1943	2733	1671	1647	1057	1943	2733	1671	1647	1057	896	0
2381	2	2	1	37	-1	0	0	0	0	0	2073	2017	1814	1723	1700	1675	71	81	63	60	62	71	0
476	1	2	2	30	0	-1	0	0	0	0	304	20	67	29	25	0	20	24	21	12	0	0	0
3333	2	1	2	24	1	-2	-2	-2	-1	-1	0	0	0	0	26	0	0	0	0	26	0	0	0
11905	2	1	1	47	0	-1	-1	0	0	2	308	115	437	208	679	665	120	442	119	476	0	119	0
238	2	2	1	31	0	0	0	0	0	0	379	215	236	238	232	207	55	52	24	8	7	8	0
2143	1	1	1	35	0	0	2	2	2	2	380	447	457	442	470	458	74	24	0	38	0	19	1
476	2	2	1	26	1	2	2	2	2	4	376	363	431	440	498	476	0	74	24	71	0	0	1
1667	2	2	1	42	2	2	2	2	2	2	1212	1238	1251	1275	1301	1328	52	48	60	50	52	50	1
6190	2	1	1	42	0	0	-1	-1	0	-1	401	205	92	309	209	360	36	92	310	0	360	399	0
2619	2	2	2	45	-1	-1	-1	0	0	0	20	223	2046	794	790	786	223	2046	28	28	28	28	0
6190	2	1	2	28	0	0	0	0	0	0	931	1092	1061	891	984	1047	190	190	214	310	286	238	0
7381	1	1	2	31	0	0	0	0	0	0	6660	6343	6470	6206	4756	4357	242	594	249	149	149	139	0
238	1	2	2	29	2	2	0	0	2	2	142	136	170	202	197	235	0	36	36	0	38	5	1
5714	2	3	2	31	0	0	0	0	0	-2	3993	2577	2652	1468	0	0	95	119	71	0	0	2648	0
5476	1	1	2	26	-2	-2	-2	-2	-2	-2	10	9	10	10	13	10	9	11	10	13	10	0	0
1905	1	1	2	27	0	0	0	0	0	0	1728	1508	1227	988	812	695	238	95	48	71	60	0	0
4762	2	1	2	37	-1	-1	-1	-1	-1	-1	11	48	86	385	0	20	60	88	386	0	20	38	0
2619	2	1	2	28	0	0	0	0	0	0	2173	2187	2020	2009	1414	1408	192	340	60	158	46	126	0
2857	2	1	2	26	0	0	0	0	0	0	2489	2508	2666	2682	2722	2741	95	238	95	119	100	107	0
6667	1	2	2	45	0	0	-1	0	0	0	4064	620	4559	3244	2654	2296	167	4956	119	119	119	71	0
8571	1	1	2	27	-1	-1	-1	-1	-1	-1	138	96	55	31	0	8	96	55	31	0	8	26	0
2857	1	2	1	51	0	0	0	0	0	2	2756	2829	2843	2591	2381	2006	139	140	98	169	0	414	1
1905	1	2	2	39	0	0	0	0	0	0	1312	1221	1142	1164	1177	1190	72	50	48	48	48	42	0
7143	1	2	2	29	0	0	0	0	0	0	1186	1186	1234	1196	1178	1273	119	119	119	119	119	119	0
5476	2	2	2	27	1	2	0	0	0	0	325	301	313	252	219	121	0	25	10	7	24	110	1
